,STANDARD_VALUE,STANDARD_UNITS,activity_class,SMILES,molecule
0,1584.89,nM,0,NCCC(C(=O)Nc1ccc2[nH]ncc2c1)c3ccc(Cl)c(Cl)c3,CHEMBL1998121
1,1584.89,nM,0,NCC(NC(=O)c1ccc(cc1)c2ccncc2)c3ccccc3,CHEMBL1990254
2,1258.93,nM,1,NC1CCCCC1Nc2nccc(n2)c3c[nH]c4ncccc34,CHEMBL1995813
3,316.23,nM,1,Nc1n[nH]c2ccc(cc12)c3nnn(Cc4ccccc4)c3c5ccccc5,CHEMBL1972158
4,1584.89,nM,0,Clc1ccc(cc1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,CHEMBL1998829
5,3162.28,nM,1,CCOC(=O)Cc1nc2c3cc(Br)ccc3NC(=O)n2n1,CHEMBL1974480
6,316.23,nM,1,Cc1[nH]c(C=C2C(=O)Nc3ccccc23)c(C)c1CCC(=O)O,CHEMBL2007064
7,1584.89,nM,0,CCOC(=O)C1=CN(c2ccc(O)cc2C)c3cc(ccc3C1=O)c4ccncc4,CHEMBL1996780
8,5011.87,nM,0,CCCC(=O)Nc1cccc(c1)c2nc(Nc3ccc4[nH]ncc4c3)c5cc(OCCN6CCCC6)ccc5n2,CHEMBL1968705
9,398.11,nM,1,COc1cc(ccc1O)c2ccc3C(=O)Nc4cc(ccc4Nc3c2)C(=O)NCc5cccc(F)c5,CHEMBL2000832
10,1584.89,nM,0,C(c1ccccc1)c2cc(on2)c3ccc4[nH]ncc4c3,CHEMBL1682357
11,1584.89,nM,0,CC(C)(CO)CNc1nccc(n1)c2c(nc3cnccn23)c4ccc(F)cc4,CHEMBL1991395
12,1584.89,nM,0,Cc1ccc2Nc3ccccc3C(=O)Nc2c1,CHEMBL1999714
13,39810.72,nM,1,Clc1ccc2NC(=O)n3ncnc3c2c1,CHEMBL1992673
14,1584.89,nM,0,CS(=O)(=O)NCCOc1cncc(c1)c2ccc3cnccc3c2,CHEMBL1964804
15,794.33,nM,1,Nc1ncnc2NCCC(=Nc12)c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3,CHEMBL411903
16,1584.89,nM,0,O=C1Nc2cc(cnc2N1)c3ccccc3,CHEMBL2003456
17,3981.07,nM,0,COc1cc2c(ncnc2cc1OCCCN3CCCCC3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5,CHEMBL124660
18,100.0,nM,1,Cc1c(C=O)c(O)n2c3ccccc3nc2c1C#N,CHEMBL1989856
19,79.43,nM,1,CCNC(=O)NC1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CHEMBL1992220
20,1584.89,nM,0,Cc1ccccc1NC(=O)Nc2ccc3c(CCc4sc5ncnc(N)c5c34)c2,CHEMBL1982135
21,5011.87,nM,0,CN1C=C(C=C(Nc2ccc(cn2)C(=O)N3CCOCC3)C1=O)c4cccc(NC(=O)c5ccc(cc5)C(C)(C)C)c4C,CHEMBL1973138
22,316.23,nM,1,Nc1n[nH]c2ccc(cc12)c3nnn(Cc4ccccc4)c3I,CHEMBL1975128
23,794.33,nM,1,COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC,CHEMBL475251
24,398.11,nM,1,CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3cc[nH]c3n2)cc1,CHEMBL2006765
25,1584.89,nM,0,OCC(Cc1ccccc1)NC(=O)c2ccc(cc2)c3ccncc3,CHEMBL1998545
26,316.23,nM,1,Nc1n[nH]c2ccc(cc12)c3nnn(Cc4ccccc4)c3c5ccc(F)cc5,CHEMBL1986499
27,1584.89,nM,0,Cc1cc(NC(=O)Cc2ccc(cc2)c3cccc4[nH]nc(N)c34)ccc1F,CHEMBL1984363
28,1584.89,nM,0,COc1cc(C=C2SC(=S)NC2=O)ccc1O,CHEMBL1973098
29,1584.89,nM,0,Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3cccc4snc(N)c34)c1,CHEMBL1976328
30,1584.89,nM,0,FC(F)(F)c1cccc(CNC2=C(Nc3ccncc3)C(=O)C2=O)c1,CHEMBL1979252
31,1258.93,nM,1,CS(=O)(=O)NCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,CHEMBL2005718
32,1584.89,nM,0,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cccc4[nH]ncc34)c1,CHEMBL375284
33,100.0,nM,1,CN(C)CC(=O)NC1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CHEMBL1982271
34,1584.89,nM,0,S=C1NN=C2N1C3=NNC(=S)N3c4sc5CCCc5c24,CHEMBL1969537
35,1584.89,nM,0,NC(=O)c1sc(cc1OCc2ccccc2C(F)(F)F)n3cnc4ccccc34,CHEMBL481491
36,1584.89,nM,0,Clc1ccc2NC(=O)C(=C(c3ccccc3)c2c1)C4=NNC(C4)c5ccccc5,CHEMBL1992796
